OrderID,CustomerID,CustomerName,Email,Product,Category,Quantity,UnitPrice,Region,Status,OrderDate
ORD0021,CUST024,,bob@email.com,Mouse,Accessories,1,29.99,West,Completed,2024-12-05
ORD0022,CUST024,Bob Jones,charlie@email.com,Keyboard,Accessories,4,49.99,North,Completed,2024-06-27
ORD0023,CUST043,,charlie@email.com,Phone,Accessories,1,599.99,North,Completed,2024-02-12
ORD0024,CUST044,Bob Jones,charlie@email.com,Webcam,Accessories,2,79.99,East,Completed,2024-03-30
ORD0025,CUST008,Jack Ryan,jack@email.com,Monitor,Electronics,2,299.99,South,Completed,2024-04-24
ORD0026,CUST007,Diana Prince,jack@email.com,Mouse,Accessories,5,29.99,South,Cancelled,2024-03-15
ORD0027,CUST029,Henry Ford,diana@email.com,Mouse,Accessories,1,29.99,North,Cancelled,2024-09-05
ORD0028,CUST036,Jack Ryan,eve@email.com,Phone,Accessories,1,599.99,West,Completed,2024-06-25
ORD0029,CUST099,Diana Prince,bob@email.com,Webcam,Accessories,1,79.99,East,Cancelled,2024-09-24
ORD0030,CUST055,Grace Hopper,isla@email.com,Monitor,Electronics,3,299.99,North,Completed,2024-03-02
ORD0031,CUST084,Isla Fisher,frank@email.com,Keyboard,Accessories,5,49.99,,Completed,2024-06-25
ORD0032,CUST100,Isla Fisher,charlie@email.com,Laptop,Electronics,4,999.99,North,Pending,2024-07-24
ORD0033,CUST095,Diana Prince,charlie@email.com,Monitor,Electronics,2,299.99,East,Cancelled,2024-03-09
ORD0034,CUST099,Isla Fisher,diana@email.com,Phone,Accessories,3,599.99,,Pending,2024-02-22
ORD0035,CUST023,Isla Fisher,grace@email.com,Mouse,Accessories,5,29.99,North,Completed,2024-07-04
ORD0036,CUST039,Jack Ryan,eve@email.com,Keyboard,Accessories,3,49.99,East,Cancelled,2024-08-22
ORD0037,CUST075,Bob Jones,isla@email.com,Monitor,Electronics,2,299.99,South,Pending,2024-09-09
ORD0038,CUST007,Henry Ford,jack@email.com,Laptop,Electronics,1,999.99,South,Completed,2024-05-01
ORD0039,CUST066,Eve Wilson,eve@email.com,Laptop,Electronics,3,999.99,West,Cancelled,2024-11-16
ORD0040,CUST086,Diana Prince,alice@email.com,Tablet,Electronics,1,449.99,North,Pending,2024-10-18
ORD0041,CUST070,Charlie Brown,frank@email.com,Tablet,Electronics,3,449.99,South,Completed,2024-01-19
ORD0042,CUST039,,bob@email.com,Headphones,Electronics,4,149.99,South,Completed,2024-05-27
ORD0043,CUST092,Henry Ford,isla@email.com,Phone,Accessories,1,599.99,East,Cancelled,2024-12-13
ORD0044,CUST062,Isla Fisher,alice@email.com,Webcam,Accessories,1,79.99,West,Completed,2024-04-26
ORD0045,CUST006,,eve@email.com,Monitor,Electronics,5,299.99,East,Pending,2024-08-16
ORD0046,CUST036,Charlie Brown,charlie@email.com,Monitor,Electronics,4,299.99,North,,2024-02-16
ORD0047,CUST049,Alice Smith,eve@email.com,Webcam,Accessories,3,79.99,West,Completed,2024-01-12
ORD0048,CUST074,Henry Ford,frank@email.com,Headphones,Electronics,4,149.99,West,Pending,2024-01-08
ORD0049,CUST092,Diana Prince,jack@email.com,Mouse,Accessories,2,29.99,West,Completed,2024-01-28
ORD0050,CUST092,Eve Wilson,isla@email.com,Mouse,Accessories,4,29.99,West,Completed,2024-05-24
ORD0051,CUST073,Alice Smith,eve@email.com,Headphones,Electronics,4,149.99,North,Pending,2024-08-27
ORD0052,CUST029,Charlie Brown,frank@email.com,Mouse,Accessories,2,29.99,East,Cancelled,2024-10-29
ORD0053,CUST025,Bob Jones,jack@email.com,Tablet,Electronics,2,449.99,East,Cancelled,2024-01-05
ORD0054,CUST033,Frank Castle,alice@email.com,Monitor,Electronics,2,299.99,West,Completed,2024-09-23
ORD0055,CUST085,Jack Ryan,isla@email.com,Headphones,Electronics,3,149.99,East,Completed,2024-04-07
ORD0056,CUST099,Alice Smith,eve@email.com,Monitor,Electronics,4,299.99,North,Cancelled,2024-12-16
ORD0057,CUST005,Frank Castle,charlie@email.com,Webcam,Accessories,5,79.99,East,Cancelled,2024-02-22
ORD0058,CUST037,Jack Ryan,jack@email.com,Laptop,Electronics,3,999.99,North,Cancelled,2024-03-18
ORD0059,CUST073,Alice Smith,charlie@email.com,Tablet,Electronics,5,449.99,North,Pending,2024-10-14
ORD0060,CUST034,Henry Ford,grace@email.com,Keyboard,Accessories,2,49.99,South,Completed,2024-04-27
ORD0061,CUST003,Bob Jones,alice@email.com,Tablet,Electronics,4,449.99,North,Completed,2024-11-08
ORD0062,CUST017,Grace Hopper,eve@email.com,Headphones,Electronics,5,149.99,South,Completed,2024-03-15
ORD0063,CUST051,Grace Hopper,frank@email.com,Keyboard,Accessories,4,49.99,South,Completed,2024-04-07
ORD0064,CUST082,Charlie Brown,bob@email.com,Laptop,Electronics,4,999.99,North,Completed,2024-11-30
ORD0065,CUST030,Grace Hopper,jack@email.com,Headphones,Electronics,3,149.99,North,Cancelled,2024-10-11
ORD0066,CUST004,Jack Ryan,henry@email.com,Phone,Accessories,1,599.99,South,Completed,2024-12-05
ORD0067,CUST088,Eve Wilson,bob@email.com,Monitor,Electronics,5,299.99,South,Cancelled,2024-05-05
ORD0068,CUST043,Charlie Brown,isla@email.com,Laptop,Electronics,3,999.99,South,Pending,2024-12-25
ORD0069,CUST004,Henry Ford,isla@email.com,Monitor,Electronics,3,299.99,West,Completed,2024-06-03
ORD0070,CUST093,Bob Jones,jack@email.com,Mouse,Accessories,3,29.99,East,Cancelled,2024-01-05
ORD0071,CUST082,Jack Ryan,frank@email.com,Phone,Accessories,5,599.99,South,Completed,2024-05-12
ORD0072,CUST012,Jack Ryan,bob@email.com,Phone,Accessories,1,599.99,South,Completed,2024-10-27
ORD0073,CUST027,Isla Fisher,jack@email.com,Laptop,Electronics,1,999.99,East,Completed,2024-08-01
ORD0074,CUST056,Alice Smith,jack@email.com,Phone,Accessories,4,599.99,North,Completed,2024-12-20
ORD0075,CUST052,Henry Ford,frank@email.com,Keyboard,Accessories,2,49.99,West,Completed,2024-12-30
ORD0076,CUST026,Henry Ford,charlie@email.com,Phone,Accessories,3,599.99,East,Completed,2024-08-26
ORD0077,CUST018,Jack Ryan,frank@email.com,Monitor,Electronics,3,299.99,East,Completed,2024-04-28
ORD0078,CUST028,Jack Ryan,grace@email.com,Monitor,Electronics,1,299.99,North,Completed,2024-05-05
ORD0079,CUST044,Isla Fisher,alice@email.com,Headphones,Electronics,5,149.99,West,,2024-03-08
ORD0080,CUST010,Charlie Brown,isla@email.com,Monitor,Electronics,5,299.99,South,Pending,2024-04-20
ORD0081,CUST086,Bob Jones,henry@email.com,Headphones,Electronics,1,149.99,West,Completed,2024-02-11
ORD0082,CUST041,Eve Wilson,frank@email.com,Monitor,Electronics,4,299.99,South,Completed,2024-11-10
ORD0083,CUST070,Eve Wilson,isla@email.com,Keyboard,Accessories,1,49.99,North,Cancelled,2024-07-16
ORD0084,CUST070,Grace Hopper,diana@email.com,Webcam,Accessories,3,79.99,South,Completed,2024-09-03
ORD0085,CUST003,Charlie Brown,henry@email.com,Headphones,Electronics,5,149.99,West,Completed,2024-08-07
ORD0086,CUST075,Diana Prince,frank@email.com,Tablet,Electronics,1,449.99,South,Completed,2024-03-02
ORD0087,CUST057,Bob Jones,henry@email.com,Mouse,Accessories,2,29.99,East,,2024-10-26
ORD0088,CUST005,Frank Castle,jack@email.com,Laptop,Electronics,4,999.99,East,Pending,2024-08-12
ORD0089,CUST020,Alice Smith,alice@email.com,Monitor,Electronics,2,299.99,South,Cancelled,2024-05-18
ORD0090,CUST100,Charlie Brown,alice@email.com,Phone,Accessories,2,599.99,West,Completed,2024-09-17
ORD0091,CUST023,Jack Ryan,bob@email.com,Webcam,Accessories,5,79.99,West,Completed,2024-03-24
ORD0092,CUST065,,isla@email.com,Monitor,Electronics,1,299.99,North,,2024-02-07
ORD0093,CUST035,Alice Smith,eve@email.com,Phone,Accessories,4,599.99,West,Completed,2024-11-29
ORD0094,CUST075,Isla Fisher,bob@email.com,Mouse,Accessories,4,29.99,East,Completed,2024-01-01
ORD0095,CUST040,Frank Castle,henry@email.com,Mouse,Accessories,3,29.99,North,Cancelled,2024-09-26
ORD0096,CUST060,Charlie Brown,eve@email.com,Mouse,Accessories,5,29.99,North,Completed,2024-03-18
ORD0097,CUST026,Diana Prince,isla@email.com,Phone,Accessories,5,599.99,South,,2024-10-22
ORD0098,CUST072,Grace Hopper,henry@email.com,Monitor,Electronics,3,299.99,North,Completed,2024-01-23
ORD0099,CUST063,Alice Smith,isla@email.com,Mouse,Accessories,1,29.99,North,Completed,2024-11-04
ORD0100,CUST051,Grace Hopper,charlie@email.com,Keyboard,Accessories,3,49.99,East,Completed,2024-02-11
ORD0101,CUST064,Diana Prince,alice@email.com,Headphones,Electronics,4,149.99,South,Completed,2024-06-05
ORD0102,CUST038,Isla Fisher,alice@email.com,Phone,Accessories,5,599.99,North,Completed,2024-10-15
ORD0103,CUST068,Frank Castle,bob@email.com,Phone,Accessories,2,599.99,North,Completed,2024-11-25
ORD0104,CUST097,Frank Castle,frank@email.com,Monitor,Electronics,5,299.99,East,Pending,2024-12-30
ORD0105,CUST088,Diana Prince,henry@email.com,Phone,Accessories,5,599.99,West,Cancelled,2024-06-05
ORD0106,CUST047,Diana Prince,bob@email.com,Phone,Accessories,3,599.99,East,Completed,2024-08-30
ORD0107,CUST036,Diana Prince,jack@email.com,Mouse,Accessories,3,29.99,East,Cancelled,2024-05-27
ORD0108,CUST011,Jack Ryan,henry@email.com,Monitor,Electronics,2,299.99,South,Completed,2024-08-05
ORD0109,CUST013,Henry Ford,bob@email.com,Mouse,Accessories,1,29.99,North,Pending,2024-06-19
ORD0110,CUST076,Diana Prince,diana@email.com,Headphones,Electronics,-1,149.99,West,Cancelled,2024-11-23
ORD0111,CUST092,Jack Ryan,isla@email.com,Webcam,Accessories,3,79.99,North,Completed,2024-08-01
ORD0112,CUST011,Grace Hopper,alice@email.com,Headphones,Electronics,5,149.99,North,Completed,2024-04-19
ORD0113,CUST036,Frank Castle,grace@email.com,Webcam,Accessories,1,79.99,,Completed,2024-05-28
ORD0114,CUST047,Isla Fisher,eve@email.com,Mouse,Accessories,1,0.0,South,Pending,2024-11-08
ORD0115,CUST026,Isla Fisher,charlie@email.com,Headphones,Electronics,4,149.99,North,Completed,2024-03-15
ORD0116,CUST038,Bob Jones,grace@email.com,Monitor,Electronics,2,299.99,East,Completed,2024-12-12
ORD0117,CUST017,Charlie Brown,frank@email.com,Laptop,Electronics,-1,999.99,East,,2024-07-16
ORD0118,CUST088,Alice Smith,alice@email.com,Mouse,Accessories,5,29.99,East,Completed,2024-05-29
ORD0119,CUST026,Bob Jones,eve@email.com,Webcam,Accessories,1,79.99,East,Completed,2024-03-24
ORD0120,CUST049,Diana Prince,frank@email.com,Keyboard,Accessories,4,49.99,East,Cancelled,2024-12-25
ORD0121,CUST049,Grace Hopper,alice@email.com,Webcam,Accessories,5,79.99,South,,2024-07-29
ORD0122,CUST062,Alice Smith,henry@email.com,Keyboard,Accessories,3,49.99,South,Completed,2024-03-18
ORD0123,CUST047,Bob Jones,bob@email.com,Phone,Accessories,4,599.99,North,Completed,2024-08-09
ORD0124,CUST038,Charlie Brown,diana@email.com,Headphones,Electronics,1,149.99,West,,2024-02-24
ORD0125,CUST003,Jack Ryan,jack@email.com,Keyboard,Accessories,3,49.99,,Completed,2024-03-27
ORD0126,CUST055,Bob Jones,grace@email.com,Webcam,Accessories,5,79.99,West,Completed,2024-11-08
ORD0127,CUST067,Henry Ford,grace@email.com,Phone,Accessories,3,599.99,East,Cancelled,2024-11-23
ORD0128,CUST054,Isla Fisher,eve@email.com,Laptop,Electronics,3,999.99,East,Completed,2024-04-01
ORD0129,CUST008,Bob Jones,charlie@email.com,Monitor,Electronics,3,299.99,West,Pending,2024-06-13
ORD0130,CUST054,Eve Wilson,grace@email.com,Monitor,Electronics,2,299.99,East,Completed,2024-09-19
ORD0131,CUST033,,eve@email.com,Monitor,Electronics,3,299.99,West,Cancelled,2024-02-05
ORD0132,CUST029,Bob Jones,bob@email.com,Keyboard,Accessories,1,49.99,East,Cancelled,2024-01-11
ORD0133,CUST002,Charlie Brown,grace@email.com,Laptop,Electronics,4,999.99,West,Cancelled,2024-10-19
ORD0134,CUST038,Isla Fisher,bob@email.com,Keyboard,Accessories,5,49.99,West,Completed,2024-12-07
ORD0135,CUST024,,jack@email.com,Headphones,Electronics,3,149.99,South,Completed,2024-04-24
ORD0136,CUST081,Isla Fisher,henry@email.com,Keyboard,Accessories,2,49.99,North,Completed,2024-12-24
ORD0137,CUST073,Frank Castle,frank@email.com,Laptop,Electronics,3,999.99,South,Pending,2024-06-02
ORD0138,CUST058,Bob Jones,grace@email.com,Laptop,Electronics,5,999.99,East,Completed,2024-05-07
ORD0139,CUST085,Jack Ryan,diana@email.com,Headphones,Electronics,1,149.99,South,Completed,2024-01-17
ORD0140,CUST037,Isla Fisher,frank@email.com,Laptop,Electronics,2,999.99,West,Cancelled,2024-12-27
ORD0141,CUST086,Eve Wilson,isla@email.com,Webcam,Accessories,3,79.99,West,,2024-09-24
ORD0142,CUST053,Grace Hopper,jack@email.com,Laptop,Electronics,5,999.99,North,Completed,2024-07-08
ORD0143,CUST046,Bob Jones,frank@email.com,Monitor,Electronics,3,299.99,North,Completed,2024-06-29
ORD0144,CUST036,,jack@email.com,Webcam,Accessories,5,79.99,North,Completed,2024-10-22
ORD0145,CUST011,Diana Prince,alice@email.com,Webcam,Accessories,3,79.99,East,Completed,2024-11-05
ORD0146,CUST098,Grace Hopper,henry@email.com,Headphones,Electronics,5,149.99,West,Completed,2024-09-06
ORD0147,CUST036,Diana Prince,charlie@email.com,Tablet,Electronics,3,449.99,West,Completed,2024-12-02
ORD0148,CUST062,Bob Jones,isla@email.com,Tablet,Electronics,2,449.99,,Cancelled,2024-03-13
ORD0149,CUST073,Henry Ford,alice@email.com,Laptop,Electronics,1,999.99,North,Cancelled,2024-04-13
ORD0150,CUST042,Isla Fisher,grace@email.com,Webcam,Accessories,3,79.99,East,Completed,2024-08-16
ORD0151,CUST044,Charlie Brown,frank@email.com,Tablet,Electronics,2,449.99,West,Completed,2024-04-10
ORD0152,CUST044,Alice Smith,alice@email.com,Tablet,Electronics,2,449.99,North,Completed,2024-10-29
ORD0153,CUST012,Henry Ford,charlie@email.com,Laptop,Electronics,5,999.99,North,Cancelled,2024-07-16
ORD0154,CUST072,Isla Fisher,bob@email.com,Tablet,Electronics,1,449.99,,Completed,2024-12-30
ORD0155,CUST026,Jack Ryan,grace@email.com,Keyboard,Accessories,1,49.99,East,Completed,2024-03-26
ORD0156,CUST007,Eve Wilson,grace@email.com,Phone,Accessories,1,599.99,East,Completed,2024-11-10
ORD0157,CUST087,Bob Jones,diana@email.com,Headphones,Electronics,-1,149.99,South,,2024-04-12
ORD0158,CUST017,Henry Ford,charlie@email.com,Phone,Accessories,4,599.99,West,Cancelled,2024-04-07
ORD0159,CUST003,Eve Wilson,henry@email.com,Laptop,Electronics,2,999.99,East,Pending,2024-02-08
ORD0160,CUST015,Henry Ford,alice@email.com,Monitor,Electronics,4,299.99,North,Completed,2024-07-28
ORD0161,CUST033,Jack Ryan,bob@email.com,Headphones,Electronics,3,149.99,South,Completed,2024-09-07
ORD0162,CUST013,Bob Jones,charlie@email.com,Laptop,Electronics,3,999.99,East,Pending,2024-01-29
ORD0163,CUST062,Alice Smith,eve@email.com,Webcam,Accessories,4,79.99,North,Pending,2024-08-26
ORD0164,CUST010,Isla Fisher,grace@email.com,Monitor,Electronics,4,299.99,North,Completed,2024-06-25
ORD0165,CUST003,Henry Ford,bob@email.com,Phone,Accessories,4,599.99,South,,2024-06-01
ORD0166,CUST048,Alice Smith,eve@email.com,Laptop,Electronics,1,999.99,East,Completed,2024-12-09
ORD0167,CUST068,Jack Ryan,eve@email.com,Webcam,Accessories,5,79.99,North,Completed,2024-07-16
ORD0168,CUST039,Henry Ford,henry@email.com,Headphones,Electronics,3,149.99,South,Cancelled,2024-08-13
ORD0169,CUST025,Grace Hopper,diana@email.com,Headphones,Electronics,4,149.99,East,Pending,2024-12-14
ORD0170,CUST063,Frank Castle,eve@email.com,Mouse,Accessories,3,29.99,North,Completed,2024-04-16
ORD0171,CUST098,Isla Fisher,jack@email.com,Webcam,Accessories,1,79.99,North,Completed,2024-09-15
ORD0172,CUST006,Eve Wilson,eve@email.com,Keyboard,Accessories,1,49.99,North,Completed,2024-01-20
ORD0173,CUST061,Jack Ryan,charlie@email.com,Tablet,Electronics,2,449.99,South,Completed,2024-08-03
ORD0174,CUST003,Charlie Brown,frank@email.com,Monitor,Electronics,5,299.99,West,Cancelled,2024-03-29
ORD0175,CUST073,Diana Prince,eve@email.com,Webcam,Accessories,2,79.99,East,Completed,2024-11-18
ORD0176,CUST092,Isla Fisher,charlie@email.com,Mouse,Accessories,1,29.99,South,Pending,2024-06-18
ORD0177,CUST009,Henry Ford,isla@email.com,Tablet,Electronics,-1,449.99,East,Completed,2024-08-13
ORD0178,CUST088,Frank Castle,henry@email.com,Tablet,Electronics,3,449.99,North,Completed,2024-02-06
ORD0179,CUST060,Eve Wilson,alice@email.com,Laptop,Electronics,2,999.99,West,Cancelled,2024-08-11
ORD0180,CUST062,Charlie Brown,jack@email.com,Tablet,Electronics,3,449.99,West,Completed,2024-02-09
ORD0181,CUST091,Alice Smith,frank@email.com,Keyboard,Accessories,3,49.99,West,Pending,2024-12-18
ORD0182,CUST059,Isla Fisher,isla@email.com,Headphones,Electronics,5,149.99,South,Pending,2024-07-09
ORD0183,CUST027,Frank Castle,grace@email.com,Mouse,Accessories,5,29.99,East,Cancelled,2024-11-09
ORD0184,CUST031,Grace Hopper,jack@email.com,Tablet,Electronics,2,449.99,,Completed,2024-06-06
ORD0185,CUST039,Bob Jones,diana@email.com,Laptop,Electronics,2,999.99,South,Cancelled,2024-01-12
ORD0186,CUST039,,alice@email.com,Keyboard,Accessories,1,49.99,North,Completed,2024-07-06
ORD0187,CUST064,Henry Ford,charlie@email.com,Phone,Accessories,3,599.99,South,Completed,2024-08-20
ORD0188,CUST096,Bob Jones,eve@email.com,Headphones,Electronics,5,149.99,South,Pending,2024-12-17
ORD0189,CUST100,Bob Jones,diana@email.com,Headphones,Electronics,3,149.99,West,Completed,2024-01-12
ORD0190,CUST022,Alice Smith,jack@email.com,Mouse,Accessories,1,29.99,South,Completed,2024-04-29
ORD0191,CUST082,Bob Jones,diana@email.com,Headphones,Electronics,3,149.99,East,Pending,2024-01-07
ORD0192,CUST029,,frank@email.com,Tablet,Electronics,3,449.99,East,Completed,2024-01-26
ORD0193,CUST098,Bob Jones,diana@email.com,Laptop,Electronics,1,999.99,East,Cancelled,2024-02-08
ORD0194,CUST015,Grace Hopper,diana@email.com,Headphones,Electronics,2,149.99,East,Pending,2024-01-22
ORD0195,CUST075,Charlie Brown,alice@email.com,Headphones,Electronics,4,149.99,West,Pending,2024-01-21
ORD0196,CUST047,Eve Wilson,diana@email.com,Phone,Accessories,3,599.99,North,Cancelled,2024-09-13
ORD0197,CUST058,Frank Castle,bob@email.com,Phone,Accessories,5,599.99,East,Completed,2024-10-07
ORD0198,CUST024,Bob Jones,henry@email.com,Monitor,Electronics,4,299.99,South,Completed,2024-05-24
ORD0199,CUST093,Eve Wilson,henry@email.com,Keyboard,Accessories,3,49.99,South,Completed,2024-07-17
ORD0200,CUST003,Eve Wilson,henry@email.com,Tablet,Electronics,4,449.99,South,Completed,2024-02-15
ORD0201,CUST015,Isla Fisher,grace@email.com,Headphones,Electronics,1,149.99,South,Pending,2024-12-05
ORD0202,CUST100,Isla Fisher,frank@email.com,Webcam,Accessories,1,79.99,West,Cancelled,2024-04-26
ORD0203,CUST002,Henry Ford,henry@email.com,Headphones,Electronics,3,149.99,West,Cancelled,2024-07-27
ORD0204,CUST072,,bob@email.com,Laptop,Electronics,2,999.99,South,Completed,2024-10-27
ORD0205,CUST089,Alice Smith,frank@email.com,Monitor,Electronics,1,299.99,West,Completed,2024-08-01
ORD0206,CUST051,Henry Ford,isla@email.com,Keyboard,Accessories,1,49.99,West,Completed,2024-02-15
ORD0207,CUST032,Frank Castle,frank@email.com,Webcam,Accessories,4,79.99,West,Completed,2024-07-20
ORD0208,CUST040,Bob Jones,alice@email.com,Monitor,Electronics,2,299.99,North,Completed,2024-08-20
ORD0209,CUST077,Alice Smith,diana@email.com,Mouse,Accessories,2,29.99,South,Completed,2024-06-14
ORD0210,CUST090,Jack Ryan,bob@email.com,Keyboard,Accessories,2,49.99,South,Pending,2024-10-31
ORD0211,CUST075,Charlie Brown,frank@email.com,Headphones,Electronics,1,149.99,,Completed,2024-12-24
ORD0212,CUST095,Isla Fisher,bob@email.com,Headphones,Electronics,4,149.99,West,Completed,2024-12-13
ORD0213,CUST062,Diana Prince,grace@email.com,Keyboard,Accessories,3,49.99,West,Pending,2024-11-09
ORD0214,CUST022,Jack Ryan,charlie@email.com,Headphones,Electronics,1,149.99,West,Completed,2024-01-14
ORD0215,CUST075,Bob Jones,frank@email.com,Tablet,Electronics,4,449.99,East,Pending,2024-01-25
ORD0216,CUST045,Charlie Brown,jack@email.com,Keyboard,Accessories,3,49.99,East,Pending,2024-06-21
ORD0217,CUST008,Grace Hopper,eve@email.com,Monitor,Electronics,3,299.99,West,Completed,2024-07-29
ORD0218,CUST022,,henry@email.com,Keyboard,Accessories,1,49.99,East,Completed,2024-07-20
ORD0219,CUST035,Frank Castle,alice@email.com,Webcam,Accessories,4,79.99,North,Cancelled,2024-06-07
ORD0220,CUST058,Henry Ford,diana@email.com,Headphones,Electronics,5,149.99,West,Pending,2024-12-29
ORD0221,CUST020,Henry Ford,bob@email.com,Tablet,Electronics,1,449.99,East,Completed,2024-09-06
ORD0222,CUST098,Diana Prince,bob@email.com,Tablet,Electronics,2,449.99,West,Completed,2024-08-30
ORD0223,CUST058,Frank Castle,charlie@email.com,Mouse,Accessories,5,29.99,South,Cancelled,2024-08-12
ORD0224,CUST099,Jack Ryan,henry@email.com,Monitor,Electronics,4,299.99,West,Completed,2024-01-14
ORD0225,CUST078,Bob Jones,grace@email.com,Phone,Accessories,5,599.99,North,Cancelled,2024-02-10
ORD0226,CUST062,Frank Castle,henry@email.com,Phone,Accessories,1,599.99,West,Completed,2024-08-18
ORD0227,CUST070,Alice Smith,isla@email.com,Keyboard,Accessories,1,49.99,West,Completed,2024-06-11
ORD0228,CUST005,Alice Smith,henry@email.com,Mouse,Accessories,4,29.99,West,Pending,2024-10-27
ORD0229,CUST023,Jack Ryan,charlie@email.com,Laptop,Electronics,2,999.99,North,Completed,2024-11-27
ORD0230,CUST094,Isla Fisher,alice@email.com,Keyboard,Accessories,5,49.99,West,Completed,2024-01-01
ORD0231,CUST057,Frank Castle,diana@email.com,Mouse,Accessories,4,29.99,North,Completed,2024-06-23
ORD0232,CUST076,Eve Wilson,alice@email.com,Monitor,Electronics,1,299.99,West,Pending,2024-11-07
ORD0233,CUST028,Frank Castle,diana@email.com,Monitor,Electronics,2,299.99,South,Completed,2024-10-19
ORD0234,CUST020,Jack Ryan,alice@email.com,Monitor,Electronics,3,299.99,South,Cancelled,2024-09-01
ORD0235,CUST059,Eve Wilson,alice@email.com,Monitor,Electronics,1,299.99,East,Pending,2024-10-02
ORD0236,CUST053,Bob Jones,henry@email.com,Monitor,Electronics,3,299.99,East,Completed,2024-08-04
ORD0237,CUST050,Isla Fisher,grace@email.com,Mouse,Accessories,3,29.99,South,Pending,2024-10-20
ORD0238,CUST084,Grace Hopper,diana@email.com,Mouse,Accessories,2,29.99,South,Pending,2024-01-08
ORD0239,CUST085,Alice Smith,grace@email.com,Tablet,Electronics,5,449.99,West,Cancelled,2024-03-26
ORD0240,CUST047,Bob Jones,alice@email.com,Webcam,Accessories,2,79.99,East,Completed,2024-04-23
ORD0241,CUST082,Alice Smith,jack@email.com,Phone,Accessories,1,599.99,West,Completed,2024-11-23
ORD0242,CUST089,Diana Prince,alice@email.com,Headphones,Electronics,1,149.99,East,Cancelled,2024-10-30
ORD0243,CUST069,Isla Fisher,jack@email.com,Monitor,Electronics,4,299.99,South,Completed,2024-07-10
ORD0244,CUST070,,alice@email.com,Laptop,Electronics,1,999.99,North,Cancelled,2024-03-13
ORD0245,CUST077,Isla Fisher,diana@email.com,Headphones,Electronics,2,149.99,North,,2024-04-11
ORD0246,CUST019,Frank Castle,bob@email.com,Mouse,Accessories,2,29.99,North,Completed,2024-10-05
ORD0247,CUST083,Alice Smith,henry@email.com,Laptop,Electronics,1,999.99,North,Completed,2024-03-16
ORD0248,CUST071,Eve Wilson,charlie@email.com,Laptop,Electronics,4,999.99,North,Completed,2024-10-31
ORD0249,CUST096,Alice Smith,charlie@email.com,Laptop,Electronics,4,999.99,South,Completed,2024-09-23
ORD0250,CUST099,Henry Ford,jack@email.com,Tablet,Electronics,2,449.99,South,Completed,2024-01-03
ORD0251,CUST085,Jack Ryan,henry@email.com,Mouse,Accessories,2,29.99,,Pending,2024-04-26
ORD0252,CUST093,Jack Ryan,isla@email.com,Laptop,Electronics,4,999.99,North,Completed,2024-10-30
ORD0253,CUST037,Diana Prince,grace@email.com,Monitor,Electronics,2,299.99,West,Completed,2024-01-21
ORD0254,CUST023,Grace Hopper,eve@email.com,Keyboard,Accessories,4,49.99,East,Completed,2024-10-18
ORD0255,CUST075,Charlie Brown,diana@email.com,Laptop,Electronics,5,999.99,North,Completed,2024-10-16
